web-scraper-order,web-scraper-start-url,title,title-href,news
"1589216177-253","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","Today Hyatt Hotels Corporation is valued at $5.6 billion. As of 2019, the chain has 913 hotels in different countries of the world."
"1589216222-334","https://financialnews.com/","","https://financialnews.com/news/crypto/bitcoin-price-crashes-below-9000-ahead-of-halving/","According to Rek.to, the volume of liquidations on the popular BitMEX crypto-derivative exchange against the backdrop of a collapse in prices almost reached $300 million."
"1589216135-189","https://financialnews.com/","Small Business Loan Program Reaches 350 Billion Limit","https://financialnews.com/news/small-business-loan-program-runs-out/","The loans provided to these small businesses will be forgiven if the funds are used to pay employees, rent or mortgage."
"1589216123-166","https://financialnews.com/","Craig Wright withdraws lawsuit against Adam Back","https://financialnews.com/news/crypto/craig-wright-withdraws-lawsuit-against-adam-back/","This happened in January, but Beck found out about it just now."
"1589216222-331","https://financialnews.com/","","https://financialnews.com/news/crypto/bitcoin-price-crashes-below-9000-ahead-of-halving/","Today, May 10, the price of the first cryptocurrency suddenly fell below $9,000, breaking the uptrend."
"1589216177-249","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","According to the company’s website, today 11 million people visit restaurants annually."
"1589216186-288","https://financialnews.com/","","https://financialnews.com/news/markets/6-us-companies-that-save-on-dividends-due-to-coronavirus/","Chairman and CEO Sheldon Adelson said the company has temporarily canceled the dividend payment program with a view to longer-term prospects and profits. He also promised investors that the dividend payment program will be resumed as soon as possible."
"1589216177-254","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","The company was founded during the oil embargo recession of 1973 – 1975."
"1589216158-212","https://financialnews.com/","Record levels of US public and corporate debt","https://financialnews.com/news/record-levels-of-us-public-and-corporate-debt/","US public and corporate debt levels have skyrocketed due to the coronavirus pandemic this year. Debt has reached record highs, according to The Washington Post."
"1589216222-336","https://financialnews.com/","","https://financialnews.com/news/crypto/bitcoin-price-crashes-below-9000-ahead-of-halving/","As expected the first cryptocurrency pulled down the rest of the market."
"1589216191-293","https://financialnews.com/","","https://financialnews.com/news/shell-announces-dividend-cut-for-the-first-time-since-wwii/","Shell announces dividend cut for the first time since WWII"
"1589216073-134","https://financialnews.com/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty","https://financialnews.com/news/covid-19/russian-prime-minister-mishustin-infected-with-coronavirus-and-temporarily-relieved-of-duty/","“Without your opinion, without your participation, final decisions will not be made,” Putin said, wishing Mishustin a speedy recovery and asking him to call from the hospital."
"1589216110-158","https://financialnews.com/","North Korea: $1.5 billion in cryptocurrencies to circumvent sanctions","https://financialnews.com/news/crypto/north-korea-1-5-billion-in-cryptocurrencies-to-circumvent-sanctions/","In addition to successful attacks on bitcoin exchanges, North Korean hacker groups also use ransomware and secretly mine coins with increased privacy."
"1589216177-256","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","In 1987, Bill Gates, the founder of the company, at the age of 31 became the youngest billionaire."
"1589216199-310","https://financialnews.com/","","https://financialnews.com/news/markets/demand-for-virtual-babysitting-grows-exponentially-in-us/","For example, one child spent 45 minutes, brought toy food by the camera and pretended to feed his nanny."
"1589216073-139","https://financialnews.com/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty","https://financialnews.com/news/covid-19/russian-prime-minister-mishustin-infected-with-coronavirus-and-temporarily-relieved-of-duty/","A person who, as I know, is constantly being checked, is constantly trying to avoid unnecessary contacts and protect himself from this disease, nevertheless, you see what fact we have."
"1589216186-276","https://financialnews.com/","","https://financialnews.com/news/markets/6-us-companies-that-save-on-dividends-due-to-coronavirus/","Dividends have become an important source of income for investors. Since 1926, 40.2% of the total revenues of S&P 500’s companies are related to dividends. Over the past 12 months, the S&P 500 has reached nearly $500 billion in dividends."
